,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,PCT_CLAY,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
56,0.18880498,3.7760997,0.0,9.448242,0.7617624,11.5,0.0,3.6005,3.6005,0.0,8.324951,0.0,0.12852412,-0.12852412,1.1572415
57,0.17867693,3.5735388,0.0,8.772736,0.7409429,11.5,0.0,0.12425,0.12425,0.0,7.2313538,0.0,0.12478678,-0.12478678,1.157173
58,0.18954998,3.7880194,0.0027329128,7.058197,0.7631863,11.5,0.0,4.6315002,4.6315002,0.0,4.952667,0.0,0.11411536,-0.11411536,1.1571076
59,0.18334617,3.6458435,0.01933022,7.8699036,0.74526983,11.5,0.0,4.2747498,4.2747498,0.0,6.289734,0.0,0.119894445,-0.119894445,1.1570491
60,0.18484743,3.685575,0.010429743,6.7351074,0.7479391,11.5,0.0,3.88975,3.88975,0.0,5.311859,0.0,0.11500624,-0.11500624,1.1569991
61,0.20476924,3.8716726,0.20514414,6.044403,0.7675645,11.5,0.0,4.9885,4.9885,0.0,3.8154602,0.0,0.109143615,-0.109143615,1.156934
62,0.17843094,3.5666482,0.0018073109,7.720154,0.7379353,11.5,0.0,1.875,1.875,0.0,6.115082,0.0,0.11903398,-0.11903398,1.1568875
63,0.18242599,3.64852,0.0,9.295044,0.7425909,11.5,0.0,3.4984996,3.4984996,0.0,7.4620056,0.0,0.124791496,-0.124791496,1.1568226
64,0.1865491,3.2676659,0.4248607,6.707672,0.69959325,11.5,0.0,0.0,0.0,0.0,3.9508057,0.0,0.1117214,-0.1117214,1.1567979
65,0.18255946,3.1178465,0.48907518,5.3268127,0.67463124,11.5,0.0,0.0,0.0,0.0,2.9358826,0.0,0.10551718,-0.10551718,1.1567457
66,0.22002922,3.1819184,1.1175169,4.0066833,0.65130055,11.5,0.0,4.83625,2.8673441,1.9689057,1.9886475,0.0,0.09974651,-0.09974651,1.1566297
67,0.17853075,3.5520167,0.017054716,5.3643494,0.73690444,11.5,0.0,1.49525,1.2530313,0.24221873,3.2815247,0.0,0.104212716,-0.104212716,1.1565888
68,0.16892211,3.364599,0.012694216,7.739868,0.7145751,11.5,0.0,0.125,0.125,0.0,5.63089,0.0,0.11663653,-0.11663653,1.1565359
69,0.17187522,3.425292,0.011198814,10.62738,0.71703494,11.5,0.0,3.2499998,3.2499998,0.0,8.324738,0.0,0.12975016,-0.12975016,1.1564944
70,0.16093782,3.2187145,3.8393464e-05,12.065613,0.6941794,11.5,0.0,0.0,0.0,0.0,10.806946,0.0,0.13994405,-0.13994405,1.1564556
71,0.15501544,3.100309,0.0,10.717102,0.6796534,11.5,0.0,0.0,0.0,0.0,9.800232,0.0,0.13332917,-0.13332917,1.1564529
72,0.15321307,3.0642614,0.0,9.587891,0.6749777,11.5,0.0,0.248,0.089639604,0.15836039,7.092682,0.0,0.12147327,-0.12147327,1.156435
73,0.159735,3.1830087,0.010721061,11.043854,0.6890904,11.5,0.0,2.1142497,2.1142497,0.0,8.898499,0.0,0.13361181,-0.13361181,1.1563793
74,0.15317196,3.0481806,0.013992259,11.093689,0.672975,11.5,0.0,0.0,0.0,0.0,9.132355,0.0,0.13476643,-0.13476643,1.1564641
75,0.15496147,3.098478,0.00068901916,9.041626,0.6785363,11.5,0.0,1.2427499,1.2427499,0.0,6.3694763,0.0,0.11904021,-0.11904021,1.1563267
76,0.1509143,3.013915,0.0040079495,7.678406,0.66855603,11.5,0.0,0.0,0.0,0.0,5.177368,0.0,0.111858085,-0.111858085,1.1560965
77,0.15891498,3.1703174,0.007319837,8.903168,0.6871492,11.5,0.0,4.1489997,4.1489997,0.0,6.564453,0.0,0.11753243,-0.11753243,1.1559858
78,0.16354477,3.2708957,0.0,9.561798,0.6992816,11.5,0.0,0.503,0.503,0.0,6.8809814,0.0,0.11914945,-0.11914945,1.1559615
79,0.18777056,3.7554114,0.0,9.111877,0.7524435,11.5,0.0,11.9165,9.592897,2.323603,6.3792725,0.0,0.11833274,-0.11833274,1.1558363
80,0.19891381,3.9782765,0.0,10.944855,0.7792581,11.5,0.0,8.748,8.732703,0.015296761,9.750183,0.0,0.13554487,-0.13554487,1.1557376
81,0.20236872,4.0473742,0.0,11.387054,0.784718,11.5,0.0,7.7092505,7.7092505,0.0,8.407928,0.0,0.12867272,-0.12867272,1.1556957
82,0.182933,3.6586604,0.0,10.417908,0.74718434,11.5,0.0,0.0,0.0,0.0,6.886322,0.0,0.12058456,-0.12058456,1.1556422
83,0.19698426,3.9396791,5.472568e-06,10.0572815,0.7745384,11.5,0.0,11.153,11.153,0.0,7.6683044,0.0,0.122357965,-0.122357965,1.1555316
84,0.18982567,3.7965136,0.0,11.196503,0.76459605,11.5,0.0,0.12575,0.12575,0.0,8.831299,0.0,0.12784976,-0.12784976,1.1554605
85,0.18273018,3.6546037,0.0,11.960785,0.74799657,11.5,0.0,2.73525,2.73525,0.0,9.127533,0.0,0.13277394,-0.13277394,1.1553979
86,0.17312375,3.462475,0.0,11.055084,0.7267214,11.5,0.0,0.0,0.0,0.0,7.938202,0.0,0.124700755,-0.124700755,1.1553421
87,0.17538777,3.5077553,0.0,12.770111,0.7304802,11.5,0.0,3.7649999,3.7649999,0.0,10.257477,0.0,0.13628612,-0.13628612,1.1552742
88,0.18450363,3.6900725,0.0,14.221283,0.7503667,11.5,2.332347,3.60725,3.60725,0.0,11.479767,0.016826544,0.14300102,-0.12617448,1.155216
89,0.17207602,3.4415205,0.0,15.581879,0.7239336,11.5,6.0757847,0.248,0.248,0.0,13.518341,0.16950072,0.17277588,-0.003275156,1.1551745
90,0.17452928,3.4905858,0.0,14.331207,0.7260711,11.5,5.8666286,6.53475,6.53475,0.0,12.127899,0.3801147,0.23285195,0.14726275,1.1551156
91,0.17836197,3.5672393,0.0,10.488434,0.73374104,11.5,5.6574965,1.3832499,1.3832499,0.0,8.242645,0.32141262,0.23155177,0.08986086,1.1550741
92,0.17220181,3.4439783,5.3233958e-05,8.471863,0.72377855,11.5,5.4483852,1.3684999,1.3684999,0.0,5.576172,0.4594578,0.24324307,0.21621475,1.1549933
93,0.16522516,3.304503,0.0,10.663574,0.70762515,11.5,5.2392983,0.0,0.0,0.0,7.88443,0.70712465,0.3059961,0.40112856,1.1549203
94,0.15817964,3.1635926,0.0,14.222473,0.689743,11.5,5.0302334,0.248,0.248,0.0,12.940063,0.8155632,0.36901793,0.44654527,1.1549625
95,0.15221904,3.044381,0.0,12.75943,0.67381483,11.5,4.821192,0.0,0.0,0.0,10.448975,0.87675166,0.41264898,0.4641027,1.1549895
96,0.14811043,2.9622087,0.0,15.043671,0.6623913,11.5,4.612173,0.0,0.0,0.0,12.295319,1.1243784,0.47669032,0.64768815,1.154948
97,0.14368916,2.873783,0.0,15.707672,0.64966047,11.5,4.403177,0.0,0.0,0.0,13.778473,1.2450917,0.5181595,0.72693217,1.1550273
98,0.14364083,2.8728166,0.0,15.711578,0.6491581,11.5,4.1942034,1.1205,1.1205,0.0,13.077728,1.3343716,0.56390285,0.7704687,1.1550846
99,0.16133973,3.2267947,0.0,15.49469,0.6933881,11.5,3.9852533,3.495,3.495,0.0,13.363159,1.3019054,0.6137945,0.6881109,1.1549119
100,0.15572013,3.1144025,0.0,15.93161,0.6803132,11.5,4.8773975,1.49375,1.49375,0.0,13.16153,1.4210219,0.6037563,0.8172656,1.1548903
101,0.15852804,3.1705608,0.0,14.358978,0.6854014,11.5,10.972702,2.389,2.389,0.0,11.250214,1.3850205,0.51326025,0.87176025,1.1549343
102,0.15240982,3.0481963,0.0,14.004883,0.67109054,11.5,10.510886,0.5015,0.5015,0.0,11.784271,1.7872155,0.5747719,1.2124436,1.1549096
103,0.15878886,3.1757772,0.0,16.925446,0.6823484,11.5,10.049121,4.12875,4.12875,0.0,15.698578,2.1496685,0.7961967,1.3534718,1.1550255
104,0.18245545,3.649109,0.0,18.441132,0.7274028,11.5,9.587406,15.4405,15.4405,0.0,17.536682,2.4401758,1.0541027,1.3860731,1.155056
105,0.18991071,3.7982144,0.0,15.98053,0.75343287,11.5,9.125743,6.3645,6.3645,0.0,13.087402,2.2496405,0.8953087,1.3543317,1.1545926
106,0.2078616,4.1572323,0.0,13.013611,0.79772055,11.5,12.749489,11.782998,11.704009,0.07898923,9.773834,2.4361792,0.7925973,1.6435819,1.1545327
107,0.18212134,3.6424267,0.0,11.815369,0.7475786,11.5,18.699062,0.0,0.0,0.0,9.53595,3.0101905,0.89919066,2.1109998,1.1545498
108,0.1686564,3.373128,0.0,12.893036,0.716218,11.5,22.20676,0.0,0.0,0.0,10.491486,3.6534328,1.0791402,2.5742927,1.1545833
109,0.16473997,3.294799,0.0,13.245148,0.7066816,11.5,21.236774,1.2505,1.2505,0.0,12.624237,3.8070574,1.3462994,2.460758,1.1545956
110,0.16552895,3.310579,0.0,14.374115,0.7083241,11.5,20.266893,1.125,1.125,0.0,12.409241,4.6345353,1.4583262,3.176209,1.1546998
111,0.15693781,3.1387563,0.0,14.165436,0.68644154,11.5,19.29712,0.62874997,0.62874997,0.0,12.666595,4.9779644,1.5903306,3.3876338,1.1548657
112,0.15165988,3.0331974,0.0,13.094025,0.67247784,11.5,18.327452,0.2485,0.2485,0.0,11.489838,5.442259,1.6317294,3.8105295,1.1550577
113,0.14479515,2.895903,0.0,13.885651,0.65306085,11.5,17.357887,0.0,0.0,0.0,12.435089,5.5876713,1.6833912,3.9042802,1.1552936
114,0.14097606,2.8195212,0.0,14.089386,0.64110994,11.5,16.38843,1.988,1.988,0.0,14.411804,5.6656537,1.9478728,3.717781,1.1554186
115,0.21926174,4.385235,0.0,14.668549,0.81029826,11.5,15.419079,23.946499,23.946499,0.0,13.883575,5.9473815,2.1795225,3.767859,1.1550816
116,0.18535623,3.7071242,0.0,15.473358,0.75041425,11.5,14.449837,3.5005002,3.5005002,0.0,13.889801,6.2832456,2.195498,4.0877476,1.1551459
117,0.20254101,4.0508204,0.0,15.02713,0.7867561,11.5,13.480701,10.1715,10.1715,0.0,14.027039,5.998667,2.1857748,3.812892,1.155236
118,0.18342242,3.6684484,0.0,16.477417,0.74891657,11.5,12.528866,0.99425,0.99425,0.0,16.0018,6.763986,2.431252,4.332734,1.1554034
119,0.16852918,3.3705838,0.0,14.993225,0.7148429,11.5,11.731691,0.248,0.248,0.0,13.949097,6.6146235,2.3380263,4.276597,1.155594
120,0.15859692,3.1719384,0.0,15.868652,0.6899436,11.5,10.971342,0.0,0.0,0.0,15.37912,7.1962595,2.4279718,4.7682877,1.155849
121,0.16355857,3.2711716,0.0,16.002136,0.69218147,11.5,10.211077,9.32675,9.32675,0.0,15.854584,6.4633327,2.5351782,3.9281545,1.156083
122,0.1700795,3.40159,0.0,17.584137,0.7049482,11.5,9.450894,6.3665,6.3665,0.0,18.19278,6.8621473,2.6423767,4.2197704,1.1563084
123,0.17635077,3.5270157,0.0,18.743622,0.7221409,11.5,8.690794,3.1252499,3.1252499,0.0,19.74582,7.8674498,2.9812076,4.886242,1.1563902
124,0.16207609,3.2415218,0.0,19.87387,0.6935953,11.5,7.9307795,2.2615001,2.2615001,0.0,20.899567,7.8564763,3.2411585,4.615318,1.156543
125,0.20628545,4.1257086,0.0,19.118683,0.782649,11.5,7.1708465,20.08425,20.08425,0.0,19.136871,7.1459856,3.1240802,4.0219054,1.1566622
126,0.17785862,3.5571723,0.0,16.162415,0.72942615,11.5,6.4109974,0.125,0.125,0.0,14.407745,8.048751,2.71282,5.335931,1.1569192
127,0.17251717,3.4503431,0.0,15.630157,0.71633554,11.5,5.651232,4.491,4.491,0.0,14.505157,7.5329475,2.6167014,4.9162464,1.1570086
128,0.17181881,3.436376,0.0,15.366516,0.7171702,11.5,4.89155,1.75725,1.75725,0.0,13.961273,8.107336,2.639924,5.467412,1.1571312
129,0.15971318,3.1942635,0.0,15.329407,0.6884054,11.5,4.1319513,0.12425,0.12425,0.0,15.11203,7.905162,2.6766424,5.2285194,1.157382
130,0.15697901,3.1395802,0.0,16.120148,0.67932355,11.5,3.3763757,1.86975,1.86975,0.0,15.6297,7.6608763,2.77322,4.887656,1.1575996
131,0.15866035,3.1732073,0.0,16.118195,0.6800548,11.5,2.7837143,2.2502499,2.2502499,0.0,15.664856,7.716776,2.7163186,5.0004573,1.1578064
132,0.15712233,3.1424468,0.0,15.64444,0.6714625,11.5,2.2764697,4.1252503,4.1252503,0.0,14.758789,7.4027953,2.6619787,4.7408166,1.1580863
133,0.19078243,3.8156486,0.0,14.448883,0.75103325,11.5,1.7692816,13.412999,13.412999,0.0,12.910248,7.3373866,2.6065953,4.730791,1.1580486
134,0.17761333,3.5522666,0.0,14.898926,0.7235408,11.5,1.2621491,5.4537497,5.4537497,0.0,14.604309,8.353899,2.676147,5.677752,1.1582974
135,0.17164966,3.4329934,0.0,16.642853,0.7062514,11.5,0.75507206,6.4452505,6.4452505,0.0,17.26944,8.928284,2.8730724,6.055211,1.1585767
136,0.17013562,3.4027123,0.0,18.469208,0.69704396,11.5,0.2910896,10.783501,10.783501,0.0,19.24234,8.656134,3.1745582,5.4815755,1.1588104
137,0.15191361,3.0382721,0.0,19.137604,0.66184914,11.5,0.03705989,0.0,0.0,0.0,19.615509,9.016516,3.2458098,5.770706,1.1590251
138,0.14351286,2.8702574,0.0,18.605438,0.63972443,11.5,0.0,0.0,0.0,0.0,18.792755,9.100437,3.235626,5.864811,1.1592746
139,0.1373139,2.7462778,0.0,18.578094,0.6218433,11.5,0.0,0.0,0.0,0.0,18.282654,9.142969,3.1422894,6.00068,1.1595902
140,0.13248149,2.6496296,0.0,20.393433,0.60685486,11.5,0.0,0.0,0.0,0.0,21.86267,8.514648,3.2793145,5.235334,1.159991
141,0.12662622,2.5325246,0.0,18.713898,0.5869836,11.5,0.0,0.0,0.0,0.0,18.64975,8.476486,3.0777473,5.398739,1.1602435
142,0.12179579,2.4359157,0.0,18.172058,0.5703284,11.5,0.0,0.0,0.0,0.0,18.36557,8.365112,3.0556717,5.3094406,1.1604402
143,0.13255109,2.6510217,0.0,20.666412,0.5969959,11.5,0.0,3.606,3.606,0.0,21.2742,8.147105,3.3903804,4.756725,1.1604974
144,0.1410243,2.820486,0.0,21.083618,0.6149043,11.5,0.0,3.858,3.858,0.0,21.775177,8.379293,3.5399501,4.839343,1.160548
145,0.13132325,2.6264648,0.0,19.658539,0.59484106,11.5,0.0,0.0,0.0,0.0,19.164307,8.3058195,3.2348318,5.0709877,1.1606401
146,0.12481495,2.496299,0.0,21.783295,0.57631725,11.5,0.0,0.37725002,0.37725002,0.0,22.01886,8.660979,3.6002169,5.0607624,1.1607951
147,0.137667,2.75334,0.0,21.946991,0.6287317,11.5,0.0,1.7602499,1.7602499,0.0,21.839386,9.523504,3.7927632,5.730741,1.1609814
148,0.12858124,2.5716248,0.0,20.81723,0.60142493,11.5,0.0,0.89125,0.89125,0.0,20.480255,8.276867,3.525557,4.75131,1.161193
149,0.14964314,2.9928627,0.0,20.82016,0.6569537,11.5,0.0,5.189,5.189,0.0,20.2294,7.87364,3.5439126,4.329727,1.1612961
150,0.1481396,2.962792,0.0,20.745605,0.6524192,11.5,0.0,1.40025,1.40025,0.0,20.103882,8.198773,3.5550404,4.643733,1.1614702
151,0.13691536,2.738307,0.0,21.124329,0.6239077,11.5,0.0,0.0,0.0,0.0,20.381653,8.606571,3.3813093,5.2252617,1.1617264
152,0.12833117,2.5666234,0.0,21.283936,0.598911,11.5,0.0,0.0,0.0,0.0,21.06192,8.865618,3.3666265,5.498991,1.1619934
153,0.121739455,2.4347892,0.0,20.85144,0.57778776,11.5,0.0,0.0,0.0,0.0,20.876678,8.447677,3.431928,5.015749,1.1622193
154,0.12170318,2.4340634,0.0,19.603241,0.5757623,11.5,0.0,1.0185,1.0185,0.0,18.880585,7.4759445,3.3381608,4.137784,1.1623654
155,0.1179215,2.35843,0.0,20.365784,0.5626403,11.5,0.0,0.0,0.0,0.0,20.234894,8.600512,3.3929572,5.2075543,1.162527
156,0.112451956,2.2490392,0.0,22.705353,0.5436571,11.5,0.0,0.0,0.0,0.0,23.816193,8.849718,3.7490165,5.1007013,1.1627736
157,0.12972541,2.5945082,0.0,23.326569,0.5879476,11.5,0.0,3.9789999,3.9789999,0.0,23.250519,8.329585,3.739087,4.590498,1.1629109
158,0.13269916,2.653983,0.0,23.406494,0.588411,11.5,0.0,4.228,4.228,0.0,23.310028,9.263021,4.076193,5.1868286,1.1630743
159,0.11891284,2.3782568,0.0,23.307434,0.5553274,11.5,0.0,0.25475,0.25475,0.0,23.233154,9.044007,3.9721408,5.0718665,1.1632681
160,0.11286752,2.2573504,0.0,22.437073,0.53717923,11.5,0.0,0.0,0.0,0.0,22.365723,8.888612,4.0242863,4.8643255,1.1634645
161,0.11677781,2.335556,0.0,22.521942,0.5428945,11.5,0.0,6.4932504,6.4932504,0.0,22.129608,8.177097,3.914923,4.2621746,1.1636497
162,0.1389247,2.7784941,0.0,21.570831,0.60040766,11.5,0.0,4.2015,4.2015,0.0,20.622833,6.7713356,3.5633311,3.2080045,1.1637956
163,0.1286288,2.572576,0.0,21.174988,0.576726,11.5,0.0,0.6245,0.6245,0.0,20.664856,9.288022,3.9526935,5.3353286,1.1639404
164,0.11933725,2.386745,0.0,22.307068,0.55094826,11.5,0.0,0.0,0.0,0.0,21.674042,8.862871,3.9665043,4.896367,1.1641476
165,0.11192025,2.238405,0.0,22.20166,0.5271397,11.5,0.0,0.0,0.0,0.0,21.80481,8.5293255,3.7000332,4.8292923,1.1644053
166,0.12161693,2.4323387,0.0,21.41986,0.53687835,11.5,0.0,4.838,4.838,0.0,21.301025,8.542395,3.5901036,4.952291,1.1646223
167,0.108770035,2.1754007,0.0,21.67804,0.50149137,11.5,0.0,0.0,0.0,0.0,21.823822,8.3625555,3.6326294,4.729926,1.1648252
168,0.101145886,2.0229177,0.0,22.379486,0.47514254,11.5,0.0,0.0,0.0,0.0,22.535858,7.9755297,3.648447,4.3270826,1.1650144
169,0.09753382,1.9506764,0.0,22.453522,0.46011943,11.5,0.0,1.1192499,1.1192499,0.0,22.563599,7.4792814,3.67518,3.8041015,1.1650704
