site,plot,tag,species,litterMass.wcorr.T0,dowelMass.wcorr.T0,time.point,litterMass.wcorr,dowelMass.wcorr,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,days_elapsed,years_elapsed,k_litter,soil.vwc,GWC,WHC,MAT,MAP,Elevation,Longitude,Latitude,Species,soil.SIR,soil.pH,high.rep
GRSM,5,720,QUMO,4.045150602,2.385,2,1.4932,1.2502,2.551950602,0.630866648,1.1348,0.475807128,626,1.715068493,0.581083098,17.4,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,721,QUMO,4.304578313,2.115,2,1.5399,1.4419,2.764678313,0.64226461,0.6731,0.318250591,626,1.715068493,0.59937064,17.4,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,722,QUMO,4.040346386,2.079,2,1.7604304,1.275483015,2.279915986,0.564287259,0.803516985,0.386492056,626,1.715068493,0.484395875,17.4,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,723,QUMO,4.222906627,2.106,2,1.5325,1.2938,2.690406627,0.637098299,0.8122,0.385660019,626,1.715068493,0.591010377,17.4,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,724,QUMO,4.016325301,2.124,1,1.923976744,1.812298763,2.092348557,0.520960928,0.311701237,0.146751995,290,0.794520548,0.92631099,11.63333333,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,726,QUMO,3.881807229,2.025,1,2.055919594,1.745917753,1.825887634,0.470370507,0.279082247,0.137818393,290,0.794520548,0.799951101,11.63333333,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,727,QUMO,4.160451807,2.349,2,1.8225,0.311,2.337951807,0.561946614,2.038,0.867603235,626,1.715068493,0.481272027,17.4,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,729,QUMO,4.021129518,2.025,1,2.798643534,1.443864211,1.222485984,0.30401557,0.581135789,0.286980637,290,0.794520548,0.456159367,11.63333333,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,731,QUMO,4.251731928,2.142,1,2.008881987,1.852656065,2.242849941,0.527514429,0.289343935,0.135081202,290,0.794520548,0.943648434,11.63333333,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,732,QUMO,3.905828313,2.637,2,1.4363,0.2854,2.469528313,0.632267503,2.3516,0.891770952,626,1.715068493,0.583300036,17.4,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,6,734,ACRU,5.753147309,2.322,2,2.1651,1.2263,3.588047309,0.623666859,1.0957,0.471877692,626,1.715068493,0.569820108,24.2,0.443253921,0.631424605,13.1,1375,579,-83.51003777,35.68969405,ACRU,10.01266314,4.24,FALSE
GRSM,6,735,ACRU,5.590983003,2.601,1,2.567728442,2.515513912,3.023254561,0.54073757,0.085486088,0.032866624,290,0.794520548,0.979374908,15.4,0.443253921,0.631424605,13.1,1375,579,-83.51003777,35.68969405,ACRU,10.01266314,4.24,FALSE
GRSM,7,736,LITU,5.140703883,2.187,2,1.6156,0.901,3.525103883,0.685723972,1.286,0.588020119,626,1.715068493,0.674890602,29.33333333,0.385262947,0.536926773,13.1,1375,579,-83.50945384,35.68965808,LITU,8.914570319,4.62,FALSE
GRSM,7,738,LITU,5.259466019,2.232,1,2.276467416,1.963954641,2.982998604,0.567167578,0.268045359,0.120092007,290,0.794520548,1.053974808,17.16666667,0.385262947,0.536926773,13.1,1375,579,-83.50945384,35.68965808,LITU,8.914570319,4.62,FALSE
GRSM,8,739,QUMO,4.102415512,2.16,2,1.7907,1.1451,2.311715512,0.563501066,1.0149,0.469861111,626,1.715068493,0.483344746,22.03333333,0.43652588,0.631590511,13.1,1375,579,-83.50898663,35.68986082,QUMO,10.56077746,4.25,TRUE
